                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.15603,                0.83753,                0.92512,                 0.4701,                0.91876,                0.51297,                0.46278,                0.40812,                0.92071,                0.67965,             0.00018383,             0.00018383,             0.00018383
                     65,                0.15631,                0.83464,                0.92604,                0.47456,                0.88145,                0.51433,                0.46182,                0.43114,                0.92238,                0.71643,             0.00017912,             0.00017912,             0.00017912
                     66,                0.15819,                0.83733,                0.92558,                0.46796,                0.89325,                 0.5026,                 0.4497,                0.43377,                0.93718,                0.71789,             0.00017441,             0.00017441,             0.00017441
                     67,                0.14917,                0.83207,                0.92171,                0.46146,                0.92885,                0.50543,                0.45644,                0.39033,                0.92666,                0.63708,             0.00016969,             0.00016969,             0.00016969
                     68,                 0.1574,                0.82532,                0.92594,                0.46468,                0.89111,                 0.5135,                0.46145,                0.40667,                0.93422,                0.67829,             0.00016498,             0.00016498,             0.00016498
                     69,                0.14968,                0.82472,                0.92283,                0.45614,                0.92925,                0.50516,                0.45722,                0.38502,                  0.954,                0.63354,             0.00016027,             0.00016027,             0.00016027
                     70,                0.14777,                0.82817,                0.92139,                 0.4673,                0.91314,                0.50404,                0.45982,                0.37789,                0.92858,                0.63099,             0.00015556,             0.00015556,             0.00015556
                     71,                0.14967,                0.82396,                0.92488,                0.46396,                 0.8961,                 0.5063,                0.45991,                0.38292,                 0.9472,                0.62656,             0.00015084,             0.00015084,             0.00015084
                     72,                0.14674,                0.81965,                0.92086,                0.45597,                0.93116,                0.50822,                0.46545,                 0.3943,                0.92015,                0.66445,             0.00014613,             0.00014613,             0.00014613
                     73,                0.14369,                 0.8213,                0.91922,                0.47072,                0.90619,                0.51639,                0.46768,                0.39361,                0.91724,                0.65956,             0.00014142,             0.00014142,             0.00014142
                     74,                0.14304,                 0.8177,                0.91957,                0.47408,                0.92017,                0.50789,                0.46282,                0.38479,                0.91409,                0.65361,             0.00013671,             0.00013671,             0.00013671
                     75,                0.14264,                0.81896,                0.91762,                0.46817,                0.90238,                0.50795,                 0.4665,                0.36897,                0.93615,                0.62714,             0.00013199,             0.00013199,             0.00013199
                     76,                0.14334,                0.81354,                0.91594,                0.46751,                0.91121,                0.50662,                0.46405,                0.39381,                0.92852,                 0.6783,             0.00012728,             0.00012728,             0.00012728
                     77,                0.13863,                0.81377,                0.91824,                0.46803,                0.91425,                0.50734,                 0.4616,                0.38355,                0.92531,                0.65398,             0.00012257,             0.00012257,             0.00012257
                     78,                0.14056,                 0.8094,                0.92014,                0.46926,                0.91991,                0.50824,                0.46505,                0.37017,                0.92333,                0.63235,             0.00011786,             0.00011786,             0.00011786
                     79,                0.13773,                0.80973,                0.91485,                0.47112,                0.91126,                 0.5075,                0.46222,                0.38992,                0.89585,                  0.669,             0.00011315,             0.00011315,             0.00011315
                     80,                0.13472,                0.80986,                0.91713,                 0.4713,                0.91219,                0.50754,                0.46245,                0.40198,                0.91398,                0.67747,             0.00010843,             0.00010843,             0.00010843
                     81,                    inf,                0.80767,                0.91279,                0.47102,                0.92574,                0.50541,                0.46523,                0.38235,                0.90901,                0.65952,             0.00010372,             0.00010372,             0.00010372
                     82,                0.13183,                0.79943,                0.91406,                0.46656,                0.91422,                0.51069,                0.46802,                0.38121,                0.90361,                0.66453,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     83,                0.13212,                0.80307,                0.91552,                0.46599,                0.92094,                0.50108,                0.45919,                0.38703,                0.90706,                0.67298,             9.4296e-05,             9.4296e-05,             9.4296e-05
                     84,                0.13102,                0.80013,                0.91109,                0.47939,                0.89319,                0.51563,                0.47375,                 0.3897,                0.90612,                0.67213,             8.9583e-05,             8.9583e-05,             8.9583e-05
                     85,                0.12973,                0.80249,                0.91465,                 0.4662,                0.91869,                0.50454,                0.46668,                0.36087,                0.93344,                 0.6299,             8.4871e-05,             8.4871e-05,             8.4871e-05
                     86,                0.12934,                 0.8007,                0.91274,                0.47375,                0.92335,                0.50935,                0.46789,                0.35257,                0.92754,                 0.6186,             8.0158e-05,             8.0158e-05,             8.0158e-05
                     87,                0.12463,                0.79476,                0.91138,                0.47516,                 0.9186,                0.51378,                0.46223,                0.34634,                0.92406,                0.61137,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     88,                0.12278,                0.79268,                 0.9145,                0.47617,                0.87683,                0.50393,                0.46533,                0.35923,                0.92188,                0.63433,             7.0734e-05,             7.0734e-05,             7.0734e-05
                     89,                0.12233,                0.79664,                0.90856,                0.46781,                0.91667,                0.51214,                0.47549,                0.37365,                0.91776,                0.65207,             6.6021e-05,             6.6021e-05,             6.6021e-05
                     90,                0.12453,                0.79162,                0.91118,                0.47411,                0.89029,                0.50904,                 0.4709,                0.35918,                0.92363,                0.63195,             6.1309e-05,             6.1309e-05,             6.1309e-05
                     91,                0.11809,                0.77003,                 0.9124,                 0.4697,                0.89956,                0.50427,                0.45846,                0.36551,                0.94455,                0.64841,             5.6596e-05,             5.6596e-05,             5.6596e-05
                     92,                0.10983,                0.75189,                0.90273,                0.47392,                0.90001,                0.50377,                0.46391,                0.35731,                0.93015,                0.63562,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     93,                0.10846,                0.74813,                0.90944,                0.47164,                0.91387,                0.50835,                0.47049,                0.35665,                0.92041,                0.63687,             4.7172e-05,             4.7172e-05,             4.7172e-05
                     94,                0.10274,                0.74481,                0.90235,                0.47191,                0.90251,                0.50264,                0.46435,                0.36542,                0.91086,                0.64732,             4.2459e-05,             4.2459e-05,             4.2459e-05
                     95,                0.10147,                0.74495,                0.90219,                 0.4741,                0.89313,                0.50899,                0.46635,                 0.3569,                0.91916,                 0.6367,             3.7747e-05,             3.7747e-05,             3.7747e-05
                     96,                 0.0998,                0.74234,                0.89782,                0.46708,                0.89379,                0.50669,                 0.4708,                0.36324,                0.90926,                0.65128,             3.3034e-05,             3.3034e-05,             3.3034e-05
                     97,                0.09814,                0.73874,                0.90304,                0.46879,                0.89401,                0.51551,                0.48105,                0.35667,                0.90774,                0.64194,             2.8322e-05,             2.8322e-05,             2.8322e-05
                     98,                0.09777,                 0.7395,                0.89579,                0.46756,                0.88586,                0.50365,                0.46313,                0.36514,                0.91054,                0.65628,              2.361e-05,              2.361e-05,              2.361e-05
                     99,                0.09408,                0.73939,                0.90232,                0.47217,                0.89683,                0.50806,                0.47009,                0.36149,                 0.9014,                0.65336,             1.8897e-05,             1.8897e-05,             1.8897e-05
                    100,                 0.0923,                0.73711,                0.89802,                0.46819,                0.91016,                0.51619,                0.47674,                0.36367,                0.90218,                0.65322,             1.4185e-05,             1.4185e-05,             1.4185e-05
